AjaccioGFCO,Amiens,1,1,125.733437186353,,,2.32,3,3.94,2,,,,,,,,,,,,,,,27/09/16,,,,,,,,2.25,,2.89,,3.5
Ajaccio,Brest,1,1,95.5875943783597,,,2.53,3,3.51,2,,,,,,,,,,,,,,,30/09/16,,,,,,,,2.39,,2.87,,3.24
Amiens,Troyes,0,1,-52.4906434638876,,,2.11,3.32,4.41,3,,,,,,,,,,,,,,,30/09/16,,,,,,,,1.99,,3.17,,3.91
Laval,Clermont,1,1,43.6157400964146,,,2.65,3.1,3.41,2,,,,,,,,,,,,,,,30/09/16,,,,,,,,2.46,,2.85,,3.14
Lens,RedStar,2,0,60.2745757174864,,,1.85,3.4,6.02,1,,,,,,,,,,,,,,,30/09/16,,,,,,,,1.79,,3.15,,5.03
Nimes,BourgPeronnas,0,0,150.470430869508,,,1.95,3.55,4.65,2,,,,,,,,,,,,,,,30/09/16,,,,,,,,1.9,,3.3,,4.1
Niort,Orleans,1,0,139.300644477277,,,2.41,3,3.84,1,,,,,,,,,,,,,,,30/09/16,,,,,,,,2.27,,2.85,,3.5
Reims,Auxerre,3,0,164.327338509238,,,1.75,3.71,6.76,1,,,,,,,,,,,,,,,30/09/16,,,,,,,,1.63,,3.49,,5.69
Tours,AjaccioGFCO,0,3,24.7914837141725,,,3.3,3.1,2.77,3,,,,,,,,,,,,,,,30/09/16,,,,,,,,3.05,,2.83,,2.54
Strasbourg,Valenciennes,2,4,-36.9836811838652,,,1.81,3.4,6.3,3,,,,,,,,,,,,,,,01/10/16,,,,,,,,1.75,,3.19,,5.24
LeHavre,Sochaux,2,1,53.3112692968089,,,2.3,3.05,3.94,1,,,,,,,,,,,,,,,03/10/16,,,,,,,,2.2,,2.93,,3.56
Ajaccio,Reims,1,0,20.0524263989387,,,3.39,2.95,2.7,1,,,,,,,,,,,,,,,14/10/16,,,,,,,,3.01,,2.85,,2.54
Auxerre,Laval,2,0,51.2554618844781,,,2.38,2.95,4.04,1,,,,,,,,,,,,,,,14/10/16,,,,,,,,2.25,,2.83,,3.56
BourgPeronnas,Amiens,2,4,86.1116074368747,,,2.6,3.07,3.65,3,,,,,,,,,,,,,,,14/10/16,,,,,,,,2.3,,2.92,,3.32
Clermont,LeHavre,1,3,38.0981345514078,,,2.77,3.18,3.05,3,,,,,,,,,,,,,,,14/10/16,,,,,,,,2.57,,2.97,,2.83
Orleans,Tours,0,0,-62.687516122018,,,2.18,3.16,4.4,2,,,,,,,,,,,,,,,14/10/16,,,,,,,,2.09,,2.97,,3.78
RedStar,Nimes,3,3,-18.195423900489,,,2.85,3.02,3.1,2,,,,,,,,,,,,,,,14/10/16,,,,,,,,2.64,,2.88,,2.84
Troyes,AjaccioGFCO,1,0,116.337140067405,,,2.95,3.06,3.05,1,,,,,,,,,,,,,,,14/10/16,,,,,,,,2.69,,2.9,,2.77
Valenciennes,Niort,3,1,0.661484175342821,,,2.1,3.3,4.65,1,,,,,,,,,,,,,,,14/10/16,,,,,,,,2,,2.99,,4.09
Brest,Strasbourg,2,1,220.541149147438,,,2.33,3.02,3.96,1,,,,,,,,,,,,,,,15/10/16,,,,,,,,2.2,,2.9,,3.55
Sochaux,Lens,1,0,14.9582900242028,,,2.45,3,3.67,1,,,,,,,,,,,,,,,17/10/16,,,,,,,,2.32,,2.87,,3.32
AjaccioGFCO,Orleans,2,0,178.856168679464,,,2.05,3.2,5.15,1,,,,,,,,,,,,,,,21/10/16,,,,,,,,1.92,,3.08,,4.37
Laval,Brest,0,1,42.7601287244104,,,2.85,2.9,3.17,3,,,,,,,,,,,,,,,21/10/16,,,,,,,,2.7,,2.78,,2.88
LeHavre,Ajaccio,2,0,125.166662625031,,,1.8,3.57,5.75,1,,,,,,,,,,,,,,,21/10/16,,,,,,,,1.73,,3.36,,5
Nimes,Sochaux,0,0,2.50700258930942,,,2.5,3.1,3.6,2,,,,,,,,,,,,,,,21/10/16,,,,,,,,2.36,,2.94,,3.2
Niort,Clermont,2,1,12.8186483148709,,,2.6,3.16,3.32,1,,,,,,,,,,,,,,,21/10/16,,,,,,,,2.46,,2.96,,3.01
Strasbourg,Auxerre,2,1,-47.7877779117919,,,1.92,3.3,5.19,1,,,,,,,,,,,,,,,21/10/16,,,,,,,,1.85,,3.15,,4.58
