ManchesterUnited,CrystalPalace,190.79867697883,,,,,1.36,5.3,10,3,,0.617192025399403,0.177018284313325,0.205789690287272,,0.839381154543188,0.938196906860624,2.05789690287272,,54.0507086636679,1.73280139240039,,52.6764382609235,1.72161640228213
Arsenal,WestHam,220.90937718094,,,,,1.55,4.6,7.3,1,,0.666263014832852,0.146938967673573,0.186798017493575,,1.03270767299092,0.675919251298434,1.3636255277031,,54.0507086636679,1.73280139240039,,53.1994787772021,1.72590737730832
Southampton,Tottenham,-124.86939124706,,,,,3.35,3.45,2.32,3,,0.197352913589591,0.397682524141773,0.404964562268637,,0.66113226052513,1.37200470828912,0.939517784463237,,54.0507086636679,1.73280139240039,,51.0129946745367,1.70768081916834
Newcastle,Brighton,89.3038002899898,,,,,2.65,3.2,2.86,3,,0.411383787955797,0.342586435568106,0.246029776476096,,1.09016703808286,1.09627659381794,0.703645160721636,,45.8437216803015,1.66127986724051,,42.907127183893,1.6325294376287
Chelsea,Liverpool,-128.08261757836,,,,,3.6,3.9,2.2,3,,0.195435621247386,0.396047253019815,0.4085171257328,,0.703568236490588,1.54458428677728,0.898737676612159,,43.8375046933392,1.64184582538608,,40.9621817517152,1.61238308023088
Leicester,Burnley,93.3911530868099,,,,,1.6,4.25,6.4,1,,0.41894015420492,0.33633723032866,0.24472261546642,,0.670304246727872,1.42943322889681,1.56622473898509,,43.8375046933392,1.64184582538608,,38.6172095445189,1.58678088872869
AstonVilla,Sheffield,11.7046688984899,,,,,2.55,3.2,3.1,1,,0.302486106948241,0.414737103011152,0.282776790040607,,0.771339572718014,1.32715872963569,0.876608049125881,,43.8375046933392,1.64184582538608,,33.6609767414001,1.52712671375644
Wolverhampton,ManchesterCity,-168.41693216556,,,,,7.25,4.85,1.51,3,,0.172816901576272,0.371536067327767,0.455647031095962,,1.25292253642797,1.80194992653967,0.688027016954902,,37.3184945361249,1.57192411557175,,32.6480471415108,1.51385720885671
Brighton,ManchesterUnited,-159.1065023805,,,,,5.5,4.3,1.66,3,,0.177808624067024,0.37784762456872,0.444343751364256,,0.977947432368632,1.6247447856455,0.737610627264665,,37.3184945361249,1.57192411557175,,27.8509412720465,1.44483987751146
CrystalPalace,Everton,9.29036057304642,,,,,3.5,3.35,2.25,3,,0.299977493661052,0.41566626121949,0.284356245119458,,1.04992122781368,1.39248197508529,0.639801551518781,,37.3184945361249,1.57192411557175,,27.4299350881549,1.43822477986521
WestBromwich,Chelsea,-172.83122127066,,,,,7.35,4.9,1.46,2,,0.170496034432794,0.368406924419713,0.461097041147494,,1.25314585308103,1.80519392965659,0.673201680075341,,31.0857981775088,1.49256202305168,,23.4051911164115,1.36931219173409
Burnley,Southampton,19.6365745965181,,,,,3.25,3.4,2.37,3,,0.311014589626264,0.411212860412912,0.277772549960824,,1.01079741628536,1.3981237254039,0.658320943407153,,31.0857981775088,1.49256202305168,,19.6082783497945,1.29243946332571
Sheffield,Leeds,-17.935112409173,,,,,2.92,3.4,2.65,3,,0.274072596792801,0.422046508995102,0.303880894212097,,0.80029198263498,1.43495813058335,0.805284369662056,,25.9291341035156,1.41378801386368,,19.9529483854467,1.3000070791165
Tottenham,Newcastle,231.080904747051,,,,,1.45,5,8.3,2,,0.680591563292756,0.13944499122005,0.179963445487194,,0.986857766774497,0.69722495610025,1.49369659754371,,25.9291341035156,1.41378801386368,,18.9075041166444,1.27663420362511
