Sochaux,Nimes,2,0,H,,,2.2,3.25,4.7,1,,,,,,,,19/09/14,,,,,,,,,,,,,,,,,,1.97,,3.14,,4.1
Tours,Orleans,4,3,H,,,2.3,3.2,3.99,1,,,,,,,,19/09/14,,,,,,,,,,,,,,,,,,2.16,,3.03,,3.59
LeHavre,Troyes,3,2,H,,,2.88,3.2,2.91,1,,,,,,,,20/09/14,,,,,,,,,,,,,,,,,,2.71,,2.95,,2.7
Valenciennes,Clermont,2,1,H,,,2.22,3.25,4,1,,,,,,,,22/09/14,,,,,,,,,,,,,,,,,,2.12,,3.12,,3.58
Ajaccio,LeHavre,0,1,A,,,2.58,3.1,3.45,3,,,,,,,,23/09/14,,,,,,,,,,,,,,,,,,2.41,,2.97,,3.11
Angers,Auxerre,0,0,D,,,2.24,3.25,4,2,,,,,,,,23/09/14,,,,,,,,,,,,,,,,,,2.11,,3.06,,3.69
Arles,Laval,2,3,A,,,2.4,3.25,3.66,3,,,,,,,,23/09/14,,,,,,,,,,,,,,,,,,2.3,,3.01,,3.28
Dijon,Creteil,2,1,H,,,1.84,3.55,5.4,1,,,,,,,,23/09/14,,,,,,,,,,,,,,,,,,1.79,,3.32,,4.7
Nancy,Tours,2,1,H,,,1.97,3.37,5.3,1,,,,,,,,23/09/14,,,,,,,,,,,,,,,,,,1.88,,3.21,,4.33
Nimes,Chateauroux,1,0,H,,,1.94,3.41,5.1,1,,,,,,,,23/09/14,,,,,,,,,,,,,,,,,,1.83,,3.25,,4.56
Orleans,AjaccioGFCO,0,1,A,,,2.16,3.3,4.28,3,,,,,,,,23/09/14,,,,,,,,,,,,,,,,,,2.04,,3.11,,3.84
Sochaux,Brest,0,0,D,,,2.25,3.25,3.9,2,,,,,,,,23/09/14,,,,,,,,,,,,,,,,,,2.15,,3.06,,3.56
Troyes,Niort,4,1,H,,,1.97,3.49,4.98,1,,,,,,,,23/09/14,,,,,,,,,,,,,,,,,,1.9,,3.26,,4.15
AjaccioGFCO,Nimes,2,0,H,,,2.2,3.2,4.72,1,,,,,,,,26/09/14,,,,,,,,,,,,,,,,,,2.01,,3.08,,4
Auxerre,Arles,2,1,H,,,2.1,3.25,4.74,1,,,,,,,,26/09/14,,,,,,,,,,,,,,,,,,2.01,,3.08,,4
Chateauroux,Brest,1,1,D,,,3.62,3.1,2.45,2,,,,,,,,26/09/14,,,,,,,,,,,,,,,,,,3.26,,2.94,,2.36
Creteil,Ajaccio,3,2,H,,,2.15,3.4,4.55,1,,,,,,,,26/09/14,,,,,,,,,,,,,,,,,,1.98,,3.18,,3.94
Laval,Nancy,1,1,D,,,2.5,3.15,3.67,2,,,,,,,,26/09/14,,,,,,,,,,,,,,,,,,2.35,,3.01,,3.2
LeHavre,Dijon,1,0,H,,,2.7,3.05,3.3,1,,,,,,,,26/09/14,,,,,,,,,,,,,,,,,,2.51,,2.92,,3.01
Niort,Angers,2,1,H,,,2.1,3.3,4.87,1,,,,,,,,26/09/14,,,,,,,,,,,,,,,,,,1.99,,3.12,,4.02
Tours,Sochaux,0,1,A,,,2.3,3.2,3.81,3,,,,,,,,26/09/14,,,,,,,,,,,,,,,,,,2.19,,3.1,,3.42
Valenciennes,Orleans,2,0,H,,,2.51,3.25,3.54,1,,,,,,,,26/09/14,,,,,,,,,,,,,,,,,,2.39,,2.97,,3.12
Clermont,Troyes,1,0,H,,,3.28,3.15,2.6,1,,,,,,,,29/09/14,,,,,,,,,,,,,,,,,,2.99,,3.01,,2.44
Ajaccio,Niort,0,0,D,,,2.64,3.1,3.36,2,,,,,,,,03/10/14,,,,,,,,,,,,,,,,,,2.44,,2.98,,3.02
Angers,Creteil,3,0,H,,,2.2,3.32,3.9,1,,,,,,,,03/10/14,,,,,,,,,,,,,,,,,,2.09,,3.16,,3.56
Arles,Chateauroux,0,1,A,,,1.95,3.4,6.44,3,,,,,,,,03/10/14,,,,,,,,,,,,,,,,,,1.71,,3.27,,5.37
Dijon,Clermont,1,0,H,,,1.75,3.5,6.62,1,,,,,,,,03/10/14,,,,,,,,,,,,,,,,,,1.69,,3.38,,5.37
Nancy,AjaccioGFCO,1,0,H,,,2,3.3,5.44,1,,,,,,,,03/10/14,,,,,,,,,,,,,,,,,,1.89,,3.11,,4.46
Nimes,Laval,0,0,D,,,2.58,3.1,3.31,2,,,,,,,,03/10/14,,,,,,,,,,,,,,,,,,2.45,,2.98,,3.02
Orleans,LeHavre,2,2,D,,,2.7,3,3.32,2,,,,,,,,03/10/14,,,,,,,,,,,,,,,,,,2.51,,2.87,,3.04
Sochaux,Auxerre,0,0,D,,,2.1,3.21,4.91,2,,,,,,,,03/10/14,,,,,,,,,,,,,,,,,,1.95,,3.1,,4.15
Troyes,Valenciennes,0,0,D,,,1.65,3.8,6.9,2,,,,,,,,04/10/14,,,,,,,,,,,,,,,,,,1.57,,3.63,,5.96
Brest,Tours,2,0,H,,,2,3.4,4.85,1,,,,,,,,06/10/14,,,,,,,,,,,,,,,,,,1.92,,3.17,,4.14
AjaccioGFCO,Arles,3,1,H,,,2.23,3.2,4.4,1,,,,,,,,17/10/14,,,,,,,,,,,,,,,,,,2.08,,3.01,,3.86
Auxerre,Nancy,2,2,D,,,2.52,3.1,3.45,2,,,,,,,,17/10/14,,,,,,,,,,,,,,,,,,2.37,,2.98,,3.17
Chateauroux,Sochaux,1,4,A,,,3,3.11,2.9,3,,,,,,,,17/10/14,,,,,,,,,,,,,,,,,,2.81,,2.96,,2.63
Clermont,Ajaccio,1,1,D,,,2.1,3.35,4.85,2,,,,,,,,17/10/14,,,,,,,,,,,,,,,,,,1.94,,3.12,,4.22
Laval,Brest,2,2,D,,,2.58,3,3.45,2,,,,,,,,17/10/14,,,,,,,,,,,,,,,,,,2.42,,2.91,,3.16
LeHavre,Angers,1,0,H,,,2.3,3.1,4.08,1,,,,,,,,17/10/14,,,,,,,,,,,,,,,,,,2.19,,2.95,,3.58
