Lyon,Lille,3,0,,,,2.25,3.3,4,1,,,2.11,3.16,3.68,,,,,,,,,,,,,,,05/10/14
PSG,Monaco,1,1,,,,1.51,4.5,8.6,2,,,1.46,4.19,7.2,,,,,,,,,,,,,,,05/10/14
SaintEtienne,Toulouse,0,1,,,,1.92,3.5,4.75,3,,,1.87,3.38,4.35,,,,,,,,,,,,,,,05/10/14
Lens,PSG,1,3,,,,11.5,5.2,1.45,3,,,9.85,4.84,1.33,,,,,,,,,,,,,,,17/10/14
Lille,Guingamp,1,2,,,,1.75,3.7,6.5,3,,,1.69,3.45,5.66,,,,,,,,,,,,,,,18/10/14
Lorient,SaintEtienne,0,1,,,,3.45,3.2,2.5,3,,,3.16,3.06,2.4,,,,,,,,,,,,,,,18/10/14
Metz,Rennes,0,0,,,,2.58,3.2,3.25,2,,,2.41,3.1,3.05,,,,,,,,,,,,,,,18/10/14
Monaco,ETG,2,0,,,,1.53,4.5,8.5,1,,,1.46,4.19,7.27,,,,,,,,,,,,,,,18/10/14
Nantes,Reims,1,1,,,,1.75,3.75,6.78,2,,,1.66,3.48,5.94,,,,,,,,,,,,,,,18/10/14
Nice,Bastia,0,1,,,,2.15,3.3,4.25,3,,,2.07,3.17,3.83,,,,,,,,,,,,,,,18/10/14
Bordeaux,Caen,1,1,,,,1.96,3.6,4.7,2,,,1.89,3.41,4.22,,,,,,,,,,,,,,,19/10/14
Lyon,Montpellier,5,1,,,,1.8,3.85,5.5,1,,,1.75,3.54,4.88,,,,,,,,,,,,,,,19/10/14
Marseille,Toulouse,2,0,,,,1.73,3.9,5.9,1,,,1.67,3.64,5.37,,,,,,,,,,,,,,,19/10/14
Toulouse,Lens,0,2,,,,1.65,4.3,8.06,3,,,1.5,3.99,7.07,,,,,,,,,,,,,,,24/10/14
Bastia,Monaco,1,3,,,,4.34,3.35,2.2,3,,,3.8,3.22,2.05,,,,,,,,,,,,,,,25/10/14
Caen,Lorient,2,1,,,,2.05,3.4,4.46,1,,,1.96,3.3,4.05,,,,,,,,,,,,,,,25/10/14
ETG,Nantes,0,2,,,,2.78,3.2,3.1,3,,,2.61,3.02,2.88,,,,,,,,,,,,,,,25/10/14
PSG,Bordeaux,3,0,,,,1.47,4.7,9.2,1,,,1.42,4.37,8.1,,,,,,,,,,,,,,,25/10/14
Reims,Montpellier,1,0,,,,2.9,3.2,3.1,1,,,2.64,3.05,2.83,,,,,,,,,,,,,,,25/10/14
Guingamp,Nice,2,7,,,,2.3,3.2,3.97,3,,,2.19,3.08,3.56,,,,,,,,,,,,,,,26/10/14
Lyon,Marseille,1,0,,,,2.68,3.55,3,1,,,2.48,3.33,2.8,,,,,,,,,,,,,,,26/10/14
Rennes,Lille,2,0,,,,2.75,3.2,3.15,1,,,2.6,3,2.93,,,,,,,,,,,,,,,26/10/14
SaintEtienne,Metz,1,0,,,,1.7,3.95,7,1,,,1.61,3.62,6.16,,,,,,,,,,,,,,,26/10/14
Monaco,Reims,1,1,,,,1.55,4.57,9,2,,,1.44,4.29,7.74,,,,,,,,,,,,,,,31/10/14
Guingamp,Bastia,1,0,,,,2.15,3.3,4.3,1,,,2.06,3.18,3.86,,,,,,,,,,,,,,,01/11/14
