Toulouse,Montpellier,1,1,78.0240448778784,,,2.2,3.35,3.9,2,,,2.14,3.21,3.55,,,,,,31/10/15
Troyes,Lyon,0,1,-123.98026487573,,,5.75,3.8,1.77,3,,,5.17,3.55,1.72,,,,,,31/10/15
Monaco,Angers,1,0,169.240137270651,,,1.7,3.85,7.5,1,,,1.6,3.66,6.3,,,,,,01/11/15
Nantes,Marseille,0,1,-13.050574044958,,,4.15,3.3,2.15,3,,,3.77,3.16,2.09,,,,,,01/11/15
Nice,Lille,0,0,-37.535609861842,,,2.4,3.3,3.42,2,,,2.32,3.18,3.16,,,,,,01/11/15
Nice,Nantes,1,2,37.9339637647224,,,2.1,3.4,4.36,3,,,1.97,3.28,4.03,,,,,,04/11/15
Angers,Rennes,0,2,-19.0257285192847,,,3,3.1,2.89,3,,,2.86,2.93,2.73,,,,,,06/11/15
Caen,Guingamp,2,1,53.8708629675632,,,2.2,3.3,3.82,1,,,2.16,3.18,3.54,,,,,,07/11/15
Lille,Bastia,1,1,223.726246405234,,,1.73,3.66,6,2,,,1.69,3.46,5.63,,,,,,07/11/15
Lorient,Troyes,4,1,96.325091320886,,,1.73,3.92,6,1,,,1.65,3.64,5.54,,,,,,07/11/15
Montpellier,Nantes,2,1,61.0532605541234,,,2.3,3.2,3.9,1,,,2.21,3.07,3.54,,,,,,07/11/15
PSG,Toulouse,5,0,436.029534037417,,,1.22,7.8,21,1,,,1.18,6.78,15.75,,,,,,07/11/15
Reims,Ajaccio,1,2,222.26846566549,,,2,3.4,4.8,3,,,1.91,3.25,4.41,,,,,,07/11/15
Bordeaux,Monaco,3,1,-27.5946444701756,,,2.42,3.25,3.4,1,,,2.33,3.13,3.21,,,,,,08/11/15
Lyon,SaintEtienne,3,0,87.6949571362161,,,1.98,3.63,4.33,1,,,1.93,3.41,4.02,,,,,,08/11/15
Marseille,Nice,0,1,104.488244747334,,,1.75,4.08,5.25,3,,,1.7,3.77,4.83,,,,,,08/11/15
Nice,Lyon,3,0,-127.936315270901,,,3.7,3.5,2.25,1,,,3.41,3.32,2.16,,,,,,20/11/15
Guingamp,Toulouse,2,0,116.817513238316,,,2.17,3.52,3.9,1,,,2.07,3.34,3.6,,,,,,21/11/15
Lorient,PSG,1,2,-214.91267728297,,,8,4.65,1.5,3,,,7.14,4.35,1.45,,,,,,21/11/15
Monaco,Nantes,1,0,151.774552418993,,,1.76,3.7,5.9,1,,,1.72,3.5,5.21,,,,,,21/11/15
Montpellier,Reims,3,1,98.184368771093,,,2.17,3.4,4.1,1,,,2.07,3.23,3.74,,,,,,21/11/15
Troyes,Lille,1,1,-55.6660924347602,,,3.83,3.3,2.35,2,,,3.48,3.14,2.2,,,,,,21/11/15
Bastia,Ajaccio,1,2,238.970881096551,,,2.14,3.3,4.16,3,,,2.08,3.13,3.81,,,,,,22/11/15
Caen,Angers,0,0,79.1600322632892,,,1.94,3.4,5.4,2,,,1.83,3.27,4.8,,,,,,22/11/15
Rennes,Bordeaux,2,2,31.3381319062396,,,2.42,3.27,3.5,2,,,2.34,3.11,3.21,,,,,,22/11/15
SaintEtienne,Marseille,0,2,122.762926005571,,,2.55,3.5,3.18,3,,,2.43,3.25,2.94,,,,,,22/11/15
Lyon,Montpellier,2,4,224.071977276961,,,1.62,4.1,7.02,3,,,1.57,3.86,6.3,,,,,,27/11/15
Ajaccio,Lorient,1,1,-96.3262774539028,,,2.94,3.31,2.8,2,,,2.74,3.14,2.64,,,,,,28/11/15
Angers,Lille,2,0,-63.4467829214736,,,3,3.1,2.94,1,,,2.88,2.84,2.77,,,,,,28/11/15
Nantes,Bastia,0,0,104.653092284225,,,1.95,3.4,5.2,2,,,1.89,3.21,4.56,,,,,,28/11/15
PSG,Troyes,4,1,403.68039124215,,,1.12,12,38,1,,,1.09,9.91,28.11,,,,,,28/11/15
Reims,Rennes,2,2,-7.33851912365822,,,3,3.2,2.71,2,,,2.89,3.07,2.57,,,,,,28/11/15
Toulouse,Nice,2,0,17.4405340451281,,,2.57,3.4,3.1,1,,,2.43,3.25,2.93,,,,,,28/11/15
Bordeaux,Caen,1,4,149.51618549065,,,2,3.51,4.4,3,,,1.93,3.35,4.07,,,,,,29/11/15
Marseille,Monaco,3,3,-41.1994547438901,,,2.1,3.6,4.3,2,,,1.96,3.39,3.89,,,,,,29/11/15
SaintEtienne,Guingamp,3,0,216.618524445714,,,1.91,3.55,5.4,1,,,1.81,3.33,4.8,,,,,,29/11/15
Angers,PSG,0,0,-274.616063682763,,,13,5.04,1.36,2,,,10.89,4.83,1.32,,,,,,01/12/15
Lorient,Nice,0,0,25.9138399498022,,,2.35,3.48,3.5,2,,,2.22,3.32,3.29,,,,,,01/12/15
Nantes,Lyon,0,0,-86.4679715314476,,,3.8,3.32,2.22,2,,,3.55,3.22,2.16,,,,,,01/12/15
Bastia,Bordeaux,1,0,37.4757184578818,,,3.2,3.3,2.55,1,,,3.04,3.13,2.44,,,,,,02/12/15
Guingamp,Reims,1,2,77.6253921170951,,,2,3.5,4.6,3,,,1.92,3.35,4.23,,,,,,02/12/15
Lille,SaintEtienne,1,0,45.903275095679,,,2.51,3.2,3.4,1,,,2.44,3.03,3.15,,,,,,02/12/15
Monaco,Caen,1,1,127.734427672503,,,1.97,3.55,4.6,2,,,1.89,3.41,4.25,,,,,,02/12/15
Montpellier,Ajaccio,0,2,223.781669833422,,,1.91,3.5,5,3,,,1.85,3.34,4.61,,,,,,02/12/15
Troyes,Toulouse,0,3,96.9796761270566,,,3.15,3.32,2.55,3,,,2.96,3.23,2.43,,,,,,02/12/15
Rennes,Marseille,0,1,-40.438304940951,,,3.2,3.25,2.63,3,,,3.01,3.09,2.47,,,,,,03/12/15
Nice,PSG,0,3,-247.746695913439,,,8,4.51,1.52,3,,,6.81,4.27,1.49,,,,,,04/12/15
Ajaccio,Nantes,1,1,-66.795068431079,,,2.7,3.1,3.14,2,,,2.58,2.97,3,,,,,,05/12/15
Bastia,Monaco,1,2,-93.2145733804475,,,3.75,3.3,2.4,3,,,3.48,3.17,2.2,,,,,,05/12/15
Caen,Lille,1,2,-8.60248839293945,,,2.5,3.17,3.4,3,,,2.38,3.07,3.19,,,,,,05/12/15
Lyon,Angers,0,2,229.962394413882,,,1.65,4,7.5,3,,,1.56,3.76,6.64,,,,,,05/12/15
Reims,Troyes,1,1,76.4949511876407,,,1.8,3.8,5.5,2,,,1.73,3.64,4.87,,,,,,05/12/15
Toulouse,Lorient,2,3,60.2562995228143,,,2.25,3.42,3.8,3,,,2.14,3.3,3.46,,,,,,05/12/15
Bordeaux,Guingamp,1,0,175.860022803623,,,2.09,3.4,4.3,1,,,2.02,3.26,3.9,,,,,,06/12/15
Marseille,Montpellier,2,2,120.312336136405,,,1.7,4,6,2,,,1.65,3.75,5.44,,,,,,06/12/15
SaintEtienne,Rennes,1,1,157.846194069711,,,2.1,3.3,4.3,2,,,2.04,3.17,3.95,,,,,,06/12/15
Rennes,Caen,1,1,17.8518903939939,,,2.47,3.28,3.4,2,,,2.35,3.16,3.18,,,,,,11/12/15
Lille,Lorient,3,0,141.344406118417,,,1.9,3.5,5.44,1,,,1.8,3.37,4.85,,,,,,12/12/15
Montpellier,Guingamp,2,1,99.0011663862328,,,2.1,3.4,4.2,1,,,2.03,3.23,3.9,,,,,,12/12/15
Nantes,Toulouse,1,1,122.247902894009,,,2.47,3.25,3.4,2,,,2.36,3.11,3.18,,,,,,12/12/15
Reims,Nice,1,1,-8.70526977461623,,,2.7,3.35,2.9,2,,,2.61,3.19,2.75,,,,,,12/12/15
Troyes,Bastia,1,1,50.5329826925304,,,2.41,3.25,3.41,2,,,2.33,3.13,3.22,,,,,,12/12/15
Angers,Bordeaux,1,1,2.16955648780981,,,2.5,3.15,3.5,2,,,2.42,3,3.19,,,,,,13/12/15
Marseille,Ajaccio,1,1,251.332993035724,,,1.44,4.78,9.5,2,,,1.41,4.42,8.15,,,,,,13/12/15
Monaco,SaintEtienne,1,0,46.1252789893319,,,2.14,3.3,4.1,1,,,2.07,3.19,3.81,,,,,,13/12/15
PSG,Lyon,5,1,231.018725195843,,,1.3,6.21,15,1,,,1.25,5.64,12.17,,,,,,13/12/15
