Marseille,Dijon,,,,,,,,,1
Monaco,PSG,,,,,,,,,3
Lyon,SaintEtienne,,,,,,,,,1
PSG,Toulouse,,,,,,,,,1
Reims,Guingamp,,,,,,,,,1
Nantes,Angers,,,,,,,,,2
Strasbourg,Nimes,,,,,,,,,3
Caen,Monaco,,,,,,,,,3
Dijon,Bordeaux,,,,,,,,,2
Montpellier,Rennes,,,,,,,,,2
Nice,Lille,,,,,,,,,1
Amiens,Marseille,,,,,,,,,3
SaintEtienne,Nantes,,,,,,,,,1
Lille,Lyon,,,,,,,,,2
Monaco,Montpellier,,,,,,,,,3
Angers,Caen,,,,,,,,,2
Guingamp,Nice,,,,,,,,,2
Nimes,Amiens,,,,,,,,,1
Toulouse,Dijon,,,,,,,,,2
Rennes,Strasbourg,,,,,,,,,3
Marseille,Reims,,,,,,,,,2
Bordeaux,PSG,,,,,,,,,2
Nice,Angers,,,,,,,,,2
Amiens,Monaco,,,,,,,,,3
Montpellier,Lille,,,,,,,,,3
Lyon,Rennes,,,,,,,,,3
Bordeaux,SaintEtienne,,,,,,,,,1
Reims,Toulouse,,,,,,,,,3
Nantes,Marseille,,,,,,,,,1
Dijon,Guingamp,,,,,,,,,1
Caen,Nimes,,,,,,,,,3
Strasbourg,PSG,,,,,,,,,2
Rennes,Dijon,,,,,,,,,1
Guingamp,Amiens,,,,,,,,,3
Strasbourg,Caen,,,,,,,,,2
Lille,Reims,,,,,,,,,2
Reims,Strasbourg,,,,,,,,,1
Nimes,Lille,,,,,,,,,3
Nice,SaintEtienne,,,,,,,,,2
Lyon,Monaco,,,,,,,,,1
Caen,Toulouse,,,,,,,,,1
Montpellier,Lyon,,,,,,,,,2
PSG,Nantes,,,,,,,,,1
Rennes,Nimes,,,,,,,,,1
SaintEtienne,Dijon,,,,,,,,,1
Reims,Caen,,,,,,,,,2
Angers,Marseille,,,,,,,,,2
Lille,Toulouse,,,,,,,,,3
Monaco,Guingamp,,,,,,,,,3
Strasbourg,Nice,,,,,,,,,1
Bordeaux,Amiens,,,,,,,,,2
Nantes,Montpellier,,,,,,,,,1
Amiens,Angers,,,,,,,,,2
Caen,Lille,,,,,,,,,3
Lyon,Reims,,,,,,,,,2
Amiens,PSG,,,,,,,,,3
Nice,Bordeaux,,,,,,,,,1
Guingamp,SaintEtienne,,,,,,,,,3
Nantes,Rennes,,,,,,,,,3
Toulouse,Strasbourg,,,,,,,,,3
Dijon,Montpellier,,,,,,,,,2
Marseille,Monaco,,,,,,,,,2
Angers,Bordeaux,,,,,,,,,3
Toulouse,Lyon,,,,,,,,,2
Monaco,Nice,,,,,,,,,2
Nimes,Nantes,,,,,,,,,1
Guingamp,Rennes,,,,,,,,,1
SaintEtienne,Marseille,,,,,,,,,1
Lille,Amiens,,,,,,,,,1
PSG,Guingamp,,,,,,,,,1
Monaco,Strasbourg,,,,,,,,,3
Nimes,Toulouse,,,,,,,,,3
Reims,Nice,,,,,,,,,2
Rennes,Montpellier,,,,,,,,,2
Angers,Nantes,,,,,,,,,1
Caen,Marseille,,,,,,,,,3
Bordeaux,Dijon,,,,,,,,,1
SaintEtienne,Lyon,,,,,,,,,3
Nimes,Angers,,,,,,,,,1
Marseille,Lille,,,,,,,,,3
Nice,Nimes,,,,,,,,,1
Guingamp,Reims,,,,,,,,,3
Dijon,Monaco,,,,,,,,,1
Strasbourg,Bordeaux,,,,,,,,,1
Montpellier,Caen,,,,,,,,,1
Amiens,Lyon,,,,,,,,,3
Toulouse,Angers,,,,,,,,,2
PSG,Rennes,,,,,,,,,1
Nantes,SaintEtienne,,,,,,,,,2
Lille,Nice,,,,,,,,,1
Rennes,Amiens,,,,,,,,,1
Angers,Dijon,,,,,,,,,1
Monaco,Toulouse,,,,,,,,,1
Reims,Marseille,,,,,,,,,1
Nimes,Montpellier,,,,,,,,,2
Lyon,PSG,,,,,,,,,1
Marseille,Bordeaux,,,,,,,,,1
Dijon,Marseille,,,,,,,,,3
PSG,Bordeaux,,,,,,,,,1
Strasbourg,Angers,,,,,,,,,3
Amiens,Caen,,,,,,,,,1
Montpellier,Monaco,,,,,,,,,2
Nantes,Nimes,,,,,,,,,3
Toulouse,Reims,,,,,,,,,2
Rennes,SaintEtienne,,,,,,,,,1
Guingamp,Lille,,,,,,,,,3
Nice,Lyon,,,,,,,,,1
SaintEtienne,Strasbourg,,,,,,,,,1
Caen,Nantes,,,,,,,,,3
Nimes,Dijon,,,,,,,,,1
Lyon,Guingamp,,,,,,,,,1
Marseille,Amiens,,,,,,,,,1
Monaco,Nantes,,,,,,,,,1
Angers,Nice,,,,,,,,,1
Lille,Montpellier,,,,,,,,,2
Bordeaux,Toulouse,,,,,,,,,1
Caen,Strasbourg,,,,,,,,,2
Reims,Rennes,,,,,,,,,1
SaintEtienne,PSG,,,,,,,,,3
Bordeaux,Guingamp,,,,,,,,,2
PSG,Montpellier,,,,,,,,,1
Dijon,SaintEtienne,,,,,,,,,3
Strasbourg,Lille,,,,,,,,,2
PSG,Nimes,,,,,,,,,1
Amiens,Nice,,,,,,,,,1
Guingamp,Angers,,,,,,,,,1
Montpellier,Reims,,,,,,,,,3
Toulouse,Caen,,,,,,,,,2
Nantes,Bordeaux,,,,,,,,,1
Rennes,Marseille,,,,,,,,,2
Monaco,Lyon,,,,,,,,,1
Caen,PSG,,,,,,,,,3
Reims,Amiens,,,,,,,,,2
Angers,Monaco,,,,,,,,,2
Lille,Dijon,,,,,,,,,1
Guingamp,Nantes,,,,,,,,,2
Nice,Strasbourg,,,,,,,,,1
Lyon,Toulouse,,,,,,,,,1
Marseille,SaintEtienne,,,,,,,,,1
Bordeaux,Montpellier,,,,,,,,,3
Strasbourg,Lyon,,,,,,,,,2
Amiens,Nimes,,,,,,,,,1
Dijon,Reims,,,,,,,,,2
Monaco,Bordeaux,,,,,,,,,2
SaintEtienne,Lille,,,,,,,,,3
Toulouse,Guingamp,,,,,,,,,1
Montpellier,Angers,,,,,,,,,2
Rennes,Caen,,,,,,,,,1
Marseille,Nice,,,,,,,,,1
Dijon,PSG,,,,,,,,,3
Nice,Toulouse,,,,,,,,,2
Lille,Monaco,,,,,,,,,3
Angers,Amiens,,,,,,,,,2
Caen,SaintEtienne,,,,,,,,,3
Nimes,Strasbourg,,,,,,,,,2
Guingamp,Dijon,,,,,,,,,1
Lyon,Montpellier,,,,,,,,,1
Reims,Nantes,,,,,,,,,1
Bordeaux,Rennes,,,,,,,,,2
PSG,Marseille,,,,,,,,,1
Rennes,Lyon,,,,,,,,,3
Marseille,Angers,,,,,,,,,2
Monaco,Caen,,,,,,,,,3
Dijon,Nice,,,,,,,,,3
Amiens,Bordeaux,,,,,,,,,2
Nantes,Lille,,,,,,,,,3
Toulouse,PSG,,,,,,,,,3
SaintEtienne,Nimes,,,,,,,,,1
Montpellier,Guingamp,,,,,,,,,1
Strasbourg,Reims,,,,,,,,,1
Bordeaux,Marseille,,,,,,,,,1
Lyon,Dijon,,,,,,,,,3
Angers,Rennes,,,,,,,,,2
Guingamp,Monaco,,,,,,,,,2
Nimes,Caen,,,,,,,,,1
Amiens,SaintEtienne,,,,,,,,,2
Toulouse,Nantes,,,,,,,,,1
Reims,Lille,,,,,,,,,2
Nice,Montpellier,,,,,,,,,1
PSG,Strasbourg,,,,,,,,,2
Nimes,Rennes,,,,,,,,,1
Dijon,Amiens,,,,,,,,,2
Nantes,Lyon,,,,,,,,,1
Marseille,Nimes,,,,,,,,,1
Caen,Angers,,,,,,,,,3
Strasbourg,Guingamp,,,,,,,,,2
Monaco,Reims,,,,,,,,,2
Montpellier,Toulouse,,,,,,,,,1
Rennes,Nice,,,,,,,,,2
SaintEtienne,Bordeaux,,,,,,,,,1
Lille,PSG,,,,,,,,,1
Nantes,PSG,,,,,,,,,1
Dijon,Rennes,,,,,,,,,1
Lyon,Angers,,,,,,,,,1
Guingamp,Marseille,,,,,,,,,3
Nice,Caen,,,,,,,,,3
Nimes,Bordeaux,,,,,,,,,1
Strasbourg,Montpellier,,,,,,,,,3
Toulouse,Lille,,,,,,,,,2
Nantes,Amiens,,,,,,,,,1
Reims,SaintEtienne,,,,,,,,,3
PSG,Monaco,,,,,,,,,1
Bordeaux,Lyon,,,,,,,,,3
Lille,Nimes,,,,,,,,,1
Angers,Reims,,,,,,,,,2
Caen,Dijon,,,,,,,,,1
Amiens,Strasbourg,,,,,,,,,2
Nice,Guingamp,,,,,,,,,1
SaintEtienne,Toulouse,,,,,,,,,1
Marseille,Nantes,,,,,,,,,3
Montpellier,PSG,,,,,,,,,1
Rennes,Monaco,,,,,,,,,2
Strasbourg,Marseille,,,,,,,,,2
PSG,Nice,,,,,,,,,2
Bordeaux,Angers,,,,,,,,,3
Guingamp,Caen,,,,,,,,,2
Reims,Nimes,,,,,,,,,3
