Villarreal,AthBilbao,0,0,,,,,,,2,,03/11/2019,13:00
Osasuna,Alaves,4,2,,,,,,,1,,03/11/2019,15:00
Celta,Getafe,0,1,,,,,,,3,,03/11/2019,17:30
Leganes,Eibar,1,2,,,,,,,3,,03/11/2019,17:30
Granada,Sociedad,1,2,,,,,,,3,,03/11/2019,20:00
Sociedad,Leganes,1,1,,,,,,,2,,08/11/2019,20:00
Alaves,Valladolid,3,0,,,,,,,1,,09/11/2019,12:00
Valencia,Granada,2,0,,,,,,,1,,09/11/2019,15:00
Eibar,RealMadrid,0,4,,,,,,,3,,09/11/2019,17:30
Barcelona,Celta,4,1,,,,,,,1,,09/11/2019,20:00
Mallorca,Villarreal,3,1,,,,,,,1,,10/11/2019,11:00
AthBilbao,Levante,2,1,,,,,,,1,,10/11/2019,13:00
AthMadrid,Espanol,3,1,,,,,,,1,,10/11/2019,15:00
Getafe,Osasuna,0,0,,,,,,,2,,10/11/2019,17:30
Betis,Sevilla,1,2,,,,,,,3,,10/11/2019,20:00
Levante,Mallorca,2,1,,,,,,,1,,22/11/2019,20:00
Leganes,Barcelona,1,2,,,,,,,3,,23/11/2019,12:00
Betis,Valencia,2,1,,,,,,,1,,23/11/2019,15:00
Granada,AthMadrid,1,1,,,,,,,2,,23/11/2019,17:30
RealMadrid,Sociedad,3,1,,,,,,,1,,23/11/2019,20:00
Espanol,Getafe,1,1,,,,,,,2,,24/11/2019,11:00
Osasuna,AthBilbao,1,2,,,,,,,3,,24/11/2019,13:00
Eibar,Alaves,0,2,,,,,,,3,,24/11/2019,15:00
Villarreal,Celta,1,3,,,,,,,3,,24/11/2019,17:30
Valladolid,Sevilla,0,1,,,,,,,3,,24/11/2019,20:00
Celta,Valladolid,0,0,,,,,,,2,,29/11/2019,20:00
Alaves,RealMadrid,1,2,,,,,,,3,,30/11/2019,12:00
Sociedad,Eibar,4,1,,,,,,,1,,30/11/2019,15:00
Mallorca,Betis,1,2,,,,,,,3,,30/11/2019,17:30
Valencia,Villarreal,2,1,,,,,,,1,,30/11/2019,20:00
Sevilla,Leganes,1,0,,,,,,,1,,01/12/2019,11:00
AthBilbao,Granada,2,0,,,,,,,1,,01/12/2019,13:00
Espanol,Osasuna,2,4,,,,,,,3,,01/12/2019,15:00
Getafe,Levante,4,0,,,,,,,1,,01/12/2019,17:30
AthMadrid,Barcelona,0,1,,,,,,,3,,01/12/2019,20:00
Villarreal,AthMadrid,0,0,,,,,,,2,,06/12/2019,20:00
RealMadrid,Espanol,2,0,,,,,,,1,,07/12/2019,12:00
Granada,Alaves,3,0,,,,,,,1,,07/12/2019,15:00
Levante,Valencia,2,4,,,,,,,3,,07/12/2019,17:30
Barcelona,Mallorca,5,2,,,,,,,1,,07/12/2019,20:00
Eibar,Getafe,0,1,,,,,,,3,,08/12/2019,11:00
Betis,AthBilbao,3,2,,,,,,,1,,08/12/2019,13:00
Valladolid,Sociedad,0,0,,,,,,,2,,08/12/2019,15:00
Leganes,Celta,3,2,,,,,,,1,,08/12/2019,17:30
Osasuna,Sevilla,1,1,,,,,,,2,,08/12/2019,20:00
Alaves,Leganes,1,1,,,,,,,2,,13/12/2019,20:00
Granada,Levante,1,2,,,,,,,3,,14/12/2019,12:00
Sociedad,Barcelona,2,2,,,,,,,2,,14/12/2019,15:00
AthBilbao,Eibar,0,0,,,,,,,2,,14/12/2019,17:30
AthMadrid,Osasuna,2,0,,,,,,,1,,14/12/2019,20:00
Getafe,Valladolid,2,0,,,,,,,1,,15/12/2019,11:00
Celta,Mallorca,2,2,,,,,,,2,,15/12/2019,13:00
Espanol,Betis,2,2,,,,,,,2,,15/12/2019,15:00
Sevilla,Villarreal,1,2,,,,,,,3,,15/12/2019,17:30
Valencia,RealMadrid,1,1,,,,,,,2,,15/12/2019,20:00
Barcelona,RealMadrid,0,0,,,,,,,2,,18/12/2019,19:00
Eibar,Granada,3,0,,,,,,,1,,20/12/2019,20:00
Mallorca,Sevilla,0,2,,,,,,,3,,21/12/2019,12:00
Barcelona,Alaves,4,1,,,,,,,1,,21/12/2019,15:00
Villarreal,Getafe,1,0,,,,,,,1,,21/12/2019,17:30
Valladolid,Valencia,1,1,,,,,,,2,,21/12/2019,20:00
Leganes,Espanol,2,0,,,,,,,1,,22/12/2019,11:00
Osasuna,Sociedad,3,4,,,,,,,3,,22/12/2019,13:00
Betis,AthMadrid,1,2,,,,,,,3,,22/12/2019,15:00
Levante,Celta,3,1,,,,,,,1,,22/12/2019,17:30
RealMadrid,AthBilbao,0,0,,,,,,,2,,22/12/2019,20:00
Valladolid,Leganes,2,2,,,,,,,2,,03/01/2020,18:00
