Girona,Alcorcon,0,0,,,,,,,2,,,,,,,,,27/10/2019,11:00
Gijon,Zaragoza,4,0,,,,,,,1,,,,,,,,,27/10/2019,15:00
Huesca,Elche,2,0,,,,,,,1,,,,,,,,,27/10/2019,17:00
LasPalmas,Fuenlabrada,1,3,,,,,,,3,,,,,,,,,27/10/2019,17:00
Almeria,Extremadura,3,2,,,,,,,1,,,,,,,,,27/10/2019,20:00
Numancia,Albacete,1,0,,,,,,,1,,,,,,,,,01/11/2019,11:00
Cadiz,Gijon,3,1,,,,,,,1,,,,,,,,,01/11/2019,15:00
Ponferradina,Malaga,1,0,,,,,,,1,,,,,,,,,01/11/2019,17:30
Oviedo,Almeria,0,0,,,,,,,2,,,,,,,,,01/11/2019,20:00
Fuenlabrada,LaCoruna,1,1,,,,,,,2,,,,,,,,,02/11/2019,15:00
Alcorcon,Santander,1,0,,,,,,,1,,,,,,,,,02/11/2019,17:00
Tenerife,Huesca,0,0,,,,,,,2,,,,,,,,,02/11/2019,19:00
Extremadura,Girona,1,3,,,,,,,3,,,,,,,,,03/11/2019,11:00
Lugo,Vallecano,1,0,,,,,,,1,,,,,,,,,03/11/2019,15:00
Zaragoza,LasPalmas,3,0,,,,,,,1,,,,,,,,,03/11/2019,17:30
Elche,Mirandes,4,2,,,,,,,1,,,,,,,,,03/11/2019,19:00
Girona,Tenerife,1,0,,,,,,,1,,,,,,,,,08/11/2019,20:00
Huesca,Oviedo,3,1,,,,,,,1,,,,,,,,,09/11/2019,15:00
Mirandes,Extremadura,2,0,,,,,,,1,,,,,,,,,09/11/2019,15:00
Albacete,Lugo,0,1,,,,,,,3,,,,,,,,,09/11/2019,17:00
Gijon,Numancia,0,1,,,,,,,3,,,,,,,,,09/11/2019,17:00
LasPalmas,Alcorcon,1,1,,,,,,,2,,,,,,,,,09/11/2019,19:00
LaCoruna,Elche,1,3,,,,,,,3,,,,,,,,,10/11/2019,11:00
Almeria,Zaragoza,1,1,,,,,,,2,,,,,,,,,10/11/2019,15:00
Malaga,Fuenlabrada,0,0,,,,,,,2,,,,,,,,,10/11/2019,17:00
Santander,Ponferradina,2,2,,,,,,,2,,,,,,,,,10/11/2019,17:00
Vallecano,Cadiz,1,1,,,,,,,2,,,,,,,,,10/11/2019,20:00
Fuenlabrada,Huesca,3,2,,,,,,,1,,,,,,,,,16/11/2019,12:00
Extremadura,LaCoruna,2,0,,,,,,,1,,,,,,,,,16/11/2019,15:00
Elche,Almeria,1,1,,,,,,,2,,,,,,,,,16/11/2019,17:30
Numancia,Vallecano,2,2,,,,,,,2,,,,,,,,,16/11/2019,17:30
Zaragoza,Albacete,0,1,,,,,,,3,,,,,,,,,16/11/2019,20:00
Ponferradina,Girona,1,1,,,,,,,2,,,,,,,,,17/11/2019,11:00
Alcorcon,Malaga,1,0,,,,,,,1,,,,,,,,,17/11/2019,13:00
Oviedo,Gijon,0,0,,,,,,,2,,,,,,,,,17/11/2019,15:00
Lugo,Santander,1,1,,,,,,,2,,,,,,,,,17/11/2019,17:30
Mirandes,LasPalmas,2,1,,,,,,,1,,,,,,,,,17/11/2019,17:30
Tenerife,Cadiz,1,1,,,,,,,2,,,,,,,,,17/11/2019,20:00
Gijon,Tenerife,0,2,,,,,,,3,,,,,,,,,22/11/2019,20:00
Vallecano,Zaragoza,0,1,,,,,,,3,,,,,,,,,23/11/2019,15:00
LaCoruna,Alcorcon,0,0,,,,,,,2,,,,,,,,,23/11/2019,17:00
Santander,Extremadura,3,0,,,,,,,1,,,,,,,,,23/11/2019,17:00
Huesca,Ponferradina,2,0,,,,,,,1,,,,,,,,,23/11/2019,19:00
Almeria,Numancia,2,0,,,,,,,1,,,,,,,,,24/11/2019,11:00
Albacete,Mirandes,1,2,,,,,,,3,,,,,,,,,24/11/2019,15:00
Malaga,Elche,3,3,,,,,,,2,,,,,,,,,24/11/2019,15:00
Girona,Fuenlabrada,2,0,,,,,,,1,,,,,,,,,24/11/2019,17:00
LasPalmas,Oviedo,3,1,,,,,,,1,,,,,,,,,24/11/2019,17:00
Cadiz,Lugo,2,1,,,,,,,1,,,,,,,,,24/11/2019,20:00
Numancia,Malaga,0,0,,,,,,,2,,,,,,,,,29/11/2019,20:00
Alcorcon,Huesca,0,2,,,,,,,3,,,,,,,,,30/11/2019,15:00
Mirandes,Gijon,0,0,,,,,,,2,,,,,,,,,30/11/2019,15:00
Ponferradina,Albacete,1,1,,,,,,,2,,,,,,,,,30/11/2019,17:00
Tenerife,Almeria,1,3,,,,,,,3,,,,,,,,,30/11/2019,17:00
Zaragoza,Girona,3,3,,,,,,,2,,,,,,,,,30/11/2019,20:00
Fuenlabrada,Cadiz,1,0,,,,,,,1,,,,,,,,,01/12/2019,11:00
Oviedo,Vallecano,2,1,,,,,,,1,,,,,,,,,01/12/2019,15:00
Elche,Santander,2,0,,,,,,,1,,,,,,,,,01/12/2019,17:00
Lugo,LaCoruna,0,0,,,,,,,2,,,,,,,,,01/12/2019,17:00
Extremadura,LasPalmas,0,1,,,,,,,3,,,,,,,,,01/12/2019,19:00
Albacete,Extremadura,1,1,,,,,,,2,,,,,,,,,06/12/2019,11:00
Santander,Fuenlabrada,2,2,,,,,,,2,,,,,,,,,06/12/2019,15:00
Alcorcon,Oviedo,1,3,,,,,,,3,,,,,,,,,06/12/2019,17:30
Malaga,Tenerife,2,0,,,,,,,1,,,,,,,,,06/12/2019,20:00
Huesca,Vallecano,0,2,,,,,,,3,,,,,,,,,07/12/2019,15:00
Gijon,Ponferradina,1,0,,,,,,,1,,,,,,,,,07/12/2019,17:00
Almeria,Mirandes,3,1,,,,,,,1,,,,,,,,,07/12/2019,19:00
Girona,Lugo,3,1,,,,,,,1,,,,,,,,,08/12/2019,11:00
LaCoruna,Zaragoza,1,3,,,,,,,3,,,,,,,,,08/12/2019,15:00
LasPalmas,Numancia,3,1,,,,,,,1,,,,,,,,,08/12/2019,17:00
Cadiz,Elche,0,0,,,,,,,2,,,,,,,,,08/12/2019,20:00
Numancia,Girona,2,0,,,,,,,1,,,,,,,,,13/12/2019,20:00
Mirandes,Huesca,2,0,,,,,,,1,,,,,,,,,14/12/2019,15:00
Ponferradina,LaCoruna,2,0,,,,,,,1,,,,,,,,,14/12/2019,17:00
Tenerife,Alcorcon,0,0,,,,,,,2,,,,,,,,,14/12/2019,17:00
Zaragoza,Santander,2,0,,,,,,,1,,,,,,,,,14/12/2019,20:00
Extremadura,Malaga,0,0,,,,,,,2,,,,,,,,,15/12/2019,11:00
Oviedo,Cadiz,0,2,,,,,,,3,,,,,,,,,15/12/2019,15:00
Elche,LasPalmas,2,3,,,,,,,3,,,,,,,,,15/12/2019,17:00
Lugo,Gijon,1,2,,,,,,,3,,,,,,,,,15/12/2019,17:00
Fuenlabrada,Almeria,2,2,,,,,,,2,,,,,,,,,15/12/2019,19:00
LaCoruna,Tenerife,2,1,,,,,,,1,,,,,,,,,20/12/2019,20:00
Albacete,Elche,0,1,,,,,,,3,,,,,,,,,21/12/2019,15:00
Malaga,Lugo,1,1,,,,,,,2,,,,,,,,,21/12/2019,15:00
LasPalmas,Vallecano,1,1,,,,,,,2,,,,,,,,,21/12/2019,17:00
Gijon,Extremadura,0,1,,,,,,,3,,,,,,,,,21/12/2019,17:00
Santander,Oviedo,1,1,,,,,,,2,,,,,,,,,21/12/2019,19:00
Cadiz,Numancia,2,4,,,,,,,3,,,,,,,,,21/12/2019,20:00
Almeria,Ponferradina,2,3,,,,,,,3,,,,,,,,,22/12/2019,11:00
Huesca,Zaragoza,2,1,,,,,,,1,,,,,,,,,22/12/2019,15:00
Alcorcon,Fuenlabrada,1,1,,,,,,,2,,,,,,,,,22/12/2019,17:00
Girona,Mirandes,0,3,,,,,,,3,,,,,,,,,22/12/2019,19:00
Extremadura,Alcorcon,0,0,,,,,,,2,,,,,,,,,03/01/2020,18:00
Fuenlabrada,LasPalmas,0,0,,,,,,,2,,,,,,,,,04/01/2020,12:00
Ponferradina,Cadiz,0,0,,,,,,,2,,,,,,,,,04/01/2020,15:00
Lugo,Almeria,0,4,,,,,,,3,,,,,,,,,04/01/2020,17:00
Tenerife,Albacete,4,2,,,,,,,1,,,,,,,,,04/01/2020,17:00
Elche,Huesca,1,1,,,,,,,2,,,,,,,,,04/01/2020,19:00
Mirandes,Santander,0,0,,,,,,,2,,,,,,,,,04/01/2020,19:00
Numancia,LaCoruna,0,1,,,,,,,3,,,,,,,,,05/01/2020,11:00
Vallecano,Girona,1,0,,,,,,,1,,,,,,,,,05/01/2020,15:00
Oviedo,Malaga,1,1,,,,,,,2,,,,,,,,,05/01/2020,20:00
Zaragoza,Gijon,2,0,,,,,,,1,,,,,,,,,07/01/2020,20:00
Albacete,Fuenlabrada,1,1,,,,,,,2,,,,,,,,,14/01/2020,18:00
