Lyon,Metz,243.61458788,,,,,,,,1,,0.7164538546,0.1072869619,0.1762591834
SaintEtienne,Amiens,194.41175843,,,,,,,,2,,0.662260426,0.1214680163,0.2162715576
PSG,Marseille,250.43750646,,,,,,,,1,,0.7226452046,0.1064196526,0.1709351427
Dijon,PSG,-259.4668591,,,,,,,,1,,0.1497019878,0.1836528756,0.6666451365
Marseille,Lille,165.47404446,,,,,,,,1,,0.6187236771,0.1425987435,0.2386775793
Angers,Strasbourg,76.345461502,,,,,,,,1,,0.4145875967,0.3182639577,0.2671484455
Metz,Montpellier,1.8573981136,,,,,,,,2,,0.2925923623,0.4179270203,0.2894806173
Amiens,Brest,78.864187307,,,,,,,,1,,0.42051568,0.3124163987,0.2670679212
Nice,Reims,41.653574696,,,,,,,,1,,0.3450862747,0.383398774,0.2715149512
Bordeaux,Nantes,75.512163985,,,,,,,,1,,0.4126484166,0.3201741503,0.267177433
Toulouse,Lyon,-136.0882812,,,,,,,,3,,0.2012392877,0.3582733279,0.4404873843
SaintEtienne,Monaco,31.547247489,,,,,,,,1,,0.3293385749,0.396014663,0.274646762
Nice,Bordeaux,105.89742008,,,,,,,,2,,0.4881428588,0.2465167346,0.2653404065
Brest,PSG,-229.1868345,,,,,,,,3,,0.1624726172,0.2297461822,0.6077812005
Reims,Angers,93.908665073,,,,,,,,2,,0.4575839421,0.2759148922,0.2665011656
Monaco,Dijon,190.01724486,,,,,,,,1,,0.6563474329,0.1238206846,0.2198318824
Lille,Metz,198.49718847,,,,,,,,2,,0.667564924,0.1194983666,0.2129367093
Strasbourg,Nimes,37.25244554,,,,,,,,1,,0.3379933942,0.3892488562,0.2727577495
Rennes,Amiens,164.2083325,,,,,,,,1,,0.6165439254,0.1438801394,0.2395759351
Montpellier,Toulouse,161.91526186,,,,,,,,1,,0.6125289434,0.1462926284,0.2411784281
Marseille,Lyon,41.511651836,,,,,,,,1,,0.3448517076,0.3835961388,0.2715521535
PSG,Lille,355.88409827,,,,,,,,1,,0.7945394933,0.1030356786,0.102424828
Lyon,Nice,174.07014068,,,,,,,,1,,0.6328684096,0.134784057,0.2323475333
Brest,Nantes,54.446123496,,,,,,,,2,,0.3678932847,0.3631969634,0.2689097518
Angers,Nimes,61.723073697,,,,,,,,1,,0.3823659075,0.3496114538,0.2680226386
Dijon,Rennes,-12.99220819,,,,,,,,1,,0.2781832294,0.4220306894,0.2997860811
Amiens,Strasbourg,74.853057014,,,,,,,,3,,0.4111226596,0.3216759143,0.267201426
Bordeaux,Monaco,-20.81534681,,,,,,,,1,,0.2713517659,0.4227541912,0.3058940428
SaintEtienne,Montpellier,108.88166281,,,,,,,,2,,0.4957343057,0.2393883479,0.2648773463
Toulouse,Marseille,-111.3294673,,,,,,,,3,,0.2132010768,0.3821176924,0.4046812307
Strasbourg,Lyon,-107.430228,,,,,,,,3,,0.2151968913,0.3853998872,0.3994032214
Marseille,Brest,271.52450918,,,,,,,,1,,0.7403048915,0.1045995553,0.1550955531
Montpellier,Amiens,187.16404321,,,,,,,,1,,0.6523870814,0.1254890419,0.2221238766
Nantes,SaintEtienne,23.578065504,,,,,,,,3,,0.3182007086,0.4039841071,0.2778151842
Nice,Angers,117.96763765,,,,,,,,1,,0.518512358,0.2185577169,0.262929925
Lille,Dijon,211.44822582,,,,,,,,1,,0.6832718831,0.1144387825,0.2022893343
Metz,Reims,-32.31903574,,,,,,,,2,,0.2620687467,0.4222761455,0.3156551077
Reims,Bordeaux,70.646605854,,,,,,,,2,,0.4015606448,0.33105584,0.2673835151
Rennes,SaintEtienne,30.676131087,,,,,,,,1,,0.3280686011,0.3969683472,0.2749630516
Nimes,Metz,107.42782083,,,,,,,,2,,0.4920402288,0.2428467495,0.2651130216
Angers,Marseille,-70.99088274,,,,,,,,3,,0.2356327516,0.4097883702,0.3545788781
Brest,Strasbourg,57.223031521,,,,,,,,1,,0.3732876294,0.3581865706,0.2685257999
Lyon,Lille,185.8095238,,,,,,,,3,,0.6504721836,0.1263223019,0.2232055144
Toulouse,Monaco,-71.78111965,,,,,,,,3,,0.2351508665,0.4093820567,0.3554670767
Dijon,Montpellier,15.485776681,,,,,,,,2,,0.3079171829,0.4104265085,0.2816563085
Metz,Rennes,-8.087569011,,,,,,,,3,,0.2827160426,0.4210946503,0.296189307
Lille,Brest,214.11405316,,,,,,,,1,,0.6863146487,0.1135894763,0.2000958749
PSG,Nantes,406.71746286,,,,,,,,1,,0.817975351,0.1033297541,0.0786948948
Nimes,Lyon,-97.0527179,,,,,,,,3,,0.2206746217,0.3935058679,0.3858195103
Bordeaux,Nimes,96.228854557,,,,,,,,1,,0.4634720864,0.270178683,0.2663492305
Montpellier,PSG,-136.9922201,,,,,,,,3,,0.2008237347,0.3573051738,0.4418710914
SaintEtienne,Nice,109.93112799,,,,,,,,1,,0.4983946705,0.2369104319,0.2646948975
Nantes,Toulouse,133.00015816,,,,,,,,1,,0.5541911114,0.1880823383,0.2577265502
Rennes,Angers,128.77015724,,,,,,,,1,,0.5444720077,0.1960800899,0.2594479023
Nice,Metz,165.10461632,,,,,,,,1,,0.6180901157,0.1429691149,0.2389407693
Monaco,Amiens,200.93123476,,,,,,,,1,,0.670641523,0.1184168202,0.2109416567
Strasbourg,Toulouse,91.523352622,,,,,,,,1,,0.4515626047,0.281807042,0.2666303532
Marseille,Bordeaux,193.68353562,,,,,,,,1,,0.6612957558,0.1218405275,0.2168637166
Lille,Montpellier,122.78079901,,,,,,,,1,,0.530262525,0.208196982,0.2615404929
Reims,SaintEtienne,13.498989168,,,,,,,,1,,0.3055362847,0.4117705423,0.2826931729
Metz,Marseille,-116.9713754,,,,,,,,2,,0.2103702989,0.3771402346,0.4124894664
Toulouse,Reims,-64.33891867,,,,,,,,3,,0.2397682265,0.4129844333,0.3472473401
Brest,Nice,19.37911972,,,,,,,,2,,0.3127435168,0.4075255358,0.2797309473
Nantes,Dijon,162.06775313,,,,,,,,1,,0.6127986077,0.1461284951,0.2410728971
Nimes,Nantes,79.264345858,,,,,,,,3,,0.4214663874,0.3114777722,0.2670558403
Amiens,Dijon,97.861333801,,,,,,,,2,,0.4676286055,0.266147069,0.2662243254
Bordeaux,Strasbourg,121.82894516,,,,,,,,3,,0.5279603639,0.2102038778,0.2618357582
Angers,Monaco,-33.5880468,,,,,,,,2,,0.2610934296,0.422120512,0.3167860583
Lyon,Rennes,145.30394792,,,,,,,,3,,0.5807856201,0.1675881068,0.251626273
Montpellier,Brest,192.80842895,,,,,,,,1,,0.6601286359,0.1222971115,0.2175742525
SaintEtienne,PSG,-132.6333634,,,,,,,,3,,0.20284031,0.3619107978,0.4352488921
PSG,Amiens,457.05849706,,,,,,,,1,,0.836060477,0.1037402216,0.0601993013
Rennes,Bordeaux,113.44447464,,,,,,,,1,,0.5072524391,0.2287420712,0.2640054896
Nice,Toulouse,192.5785791,,,,,,,,1,,0.6598206502,0.122418674,0.2177606757
Marseille,Nimes,245.62405879,,,,,,,,1,,0.7183039144,0.1070141135,0.174681972
Reims,Lyon,-69.11913133,,,,,,,,2,,0.2367819505,0.4107283567,0.3524896927
Nantes,Angers,109.6472958,,,,,,,,3,,0.4976757323,0.2375789885,0.2647452791
Monaco,Lille,100.76032658,,,,,,,,1,,0.4750268957,0.2590124556,0.2659606486
Dijon,Metz,91.647010762,,,,,,,,2,,0.4518738122,0.2815019382,0.2666242495
Strasbourg,SaintEtienne,-19.44645685,,,,,,,,1,,0.2725143045,0.4226923745,0.3047933209
Rennes,Marseille,1.1164995352,,,,,,,,3,,0.2918219518,0.4182256474,0.2899524007
Bordeaux,Lyon,-92.94632057,,,,,,,,3,,0.2229123898,0.3964602442,0.3806273659
Angers,Nice,34.350487429,,,,,,,,2,,0.3335169036,0.3928039972,0.2736790991
Toulouse,Brest,62.4739792,,,,,,,,3,,0.3839208746,0.348127264,0.2679518613
Metz,Strasbourg,48.38766345,,,,,,,,1,,0.3566768475,0.3733592105,0.2699639419
Nimes,Reims,-27.39261855,,,,,,,,1,,0.2659429793,0.4226918174,0.3113652032
SaintEtienne,Nantes,147.28688546,,,,,,,,3,,0.584826857,0.164671779,0.2505013639
Amiens,Montpellier,-6.242925827,,,,,,,,3,,0.2844755858,0.4206396631,0.294884751
Dijon,Lille,12.867606841,,,,,,,,1,,0.3047908393,0.412178886,0.2830302746
Nimes,Rennes,-9.781933173,,,,,,,,3,,0.2811267609,0.4214622427,0.2974109963
Amiens,Reims,-49.71312667,,,,,,,,2,,0.2494094635,0.418546454,0.3320440824
PSG,Monaco,302.92186653,,,,,,,,2,,0.7631702148,0.1033803481,0.133449437
Monaco,PSG,-134.0280455,,,,,,,,3,,0.2021915491,0.3604544403,0.4373540105
Nice,Rennes,63.442216126,,,,,,,,2,,0.3859426099,0.3461916388,0.2678657512
Marseille,Angers,222.65363173,,,,,,,,2,,0.6956716756,0.1112336739,0.1930946504
Montpellier,Dijon,202.62500152,,,,,,,,1,,0.6727469455,0.117702299,0.2095507554
Brest,Amiens,109.07699195,,,,,,,,1,,0.4962298855,0.2389259328,0.2648441816
SaintEtienne,Nimes,150.93559514,,,,,,,,1,,0.5920826792,0.1595792124,0.2483381083
Reims,Metz,141.60553948,,,,,,,,3,,0.5730642894,0.173312207,0.2536235035
Monaco,Strasbourg,172.27216305,,,,,,,,3,,0.6300022606,0.1362961316,0.2337016077
Nantes,Bordeaux,75.20343048,,,,,,,,3,,0.4119328387,0.320878614,0.2671885472
Lille,PSG,-125.2304769,,,,,,,,3,,0.2063418685,0.3693673937,0.4242907377
Rennes,Nantes,124.57981442,,,,,,,,1,,0.5345821222,0.2044633151,0.2609545626
Lyon,Toulouse,246.73870682,,,,,,,,1,,0.7193204259,0.1068692274,0.1738103466
PSG,Montpellier,344.75007003,,,,,,,,1,,0.7885924995,0.1030204328,0.1083870676
Dijon,Brest,115.18799646,,,,,,,,1,,0.5116144286,0.224768948,0.2636166233
Nimes,Monaco,-47.58278228,,,,,,,,1,,0.2508840264,0.4191797747,0.3299361988
Strasbourg,Lille,34.03930879,,,,,,,,3,,0.3330460932,0.3931711629,0.2737827438
Angers,Reims,-6.202922563,,,,,,,,3,,0.2845140899,0.4206291526,0.2948567574
Nice,Lyon,-37.34924606,,,,,,,,1,,0.2582540178,0.4215468119,0.3201991702
Amiens,Toulouse,80.980632104,,,,,,,,2,,0.4255702702,0.3074245411,0.2670051886
Metz,SaintEtienne,-20.59529999,,,,,,,,1,,0.2715377483,0.4227460448,0.3057162068
Lille,Rennes,80.311954334,,,,,,,,1,,0.4239663842,0.3090088532,0.2670247625
Bordeaux,Marseille,-81.19809599,,,,,,,,2,,0.2295522837,0.4041140287,0.3663336875
Nantes,PSG,-220.9529901,,,,,,,,3,,0.1658279513,0.2425556402,0.5916164084
Lyon,Amiens,264.01156122,,,,,,,,2,,0.7342508947,0.1051232026,0.1606259026
Montpellier,Metz,162.76329421,,,,,,,,2,,0.6140237629,0.1453865854,0.2405896516
Monaco,Angers,118.89753713,,,,,,,,1,,0.5208028116,0.2165156945,0.2626814938
Brest,Bordeaux,22.011318474,,,,,,,,2,,0.3161328193,0.4053568632,0.2785103174
Nimes,Dijon,132.83877082,,,,,,,,1,,0.5538254391,0.1883786802,0.2577958806
Reims,Nice,66.227608582,,,,,,,,2,,0.391862388,0.3404892688,0.2676483431
Toulouse,Strasbourg,-4.885291981,,,,,,,,3,,0.2857907311,0.4202674552,0.2939418136
SaintEtienne,Marseille,-16.04006905,,,,,,,,3,,0.2754664383,0.4224209421,0.3021126195
Angers,Lille,9.102250799,,,,,,,,3,,0.3004531619,0.4144311254,0.2851157126
Rennes,Brest,201.1438988,,,,,,,,2,,0.6709074512,0.1183254253,0.2107671234
Marseille,Toulouse,285.74106675,,,,,,,,1,,0.7511161557,0.1038883735,0.1449954707
Dijon,Nantes,65.346807873,,,,,,,,2,,0.3899739349,0.3423136197,0.2677124453
Metz,Bordeaux,21.983116173,,,,,,,,3,,0.316095946,0.4053810082,0.2785230457
Amiens,Monaco,-71.26563148,,,,,,,,3,,0.2354649902,0.4096477386,0.3548872711
Nice,Nimes,181.33431832,,,,,,,,3,,0.6439799568,0.129275651,0.2267443921
Montpellier,SaintEtienne,86.489338063,,,,,,,,1,,0.4390032303,0.2941608009,0.2668359687
Strasbourg,Reims,-22.86204825,,,,,,,,1,,0.2696379517,0.4227975952,0.307564453
PSG,Lyon,221.74121858,,,,,,,,1,,0.6946989571,0.1114609539,0.1938400889
Monaco,Montpellier,99.263143168,,,,,,,,1,,0.471204089,0.2626920398,0.2661038711
Amiens,PSG,-297.0549462,,,,,,,,2,,0.1327242951,0.1334586633,0.7338170415
Bordeaux,Dijon,150.61024813,,,,,,,,2,,0.5914451633,0.1600190885,0.2485357481
Toulouse,Nice,-53.40845393,,,,,,,,3,,0.2468963513,0.4173383523,0.3357652963
Nimes,Angers,61.467677289,,,,,,,,1,,0.381839629,0.350112843,0.2680475279
Lyon,Strasbourg,185.76490322,,,,,,,,2,,0.6504087147,0.1263502162,0.223241069
Brest,SaintEtienne,6.9125102029,,,,,,,,1,,0.2980123382,0.4156008797,0.286386782
Reims,Rennes,16.581884853,,,,,,,,1,,0.3092540679,0.4096460205,0.2810999115
Lille,Marseille,10.139873616,,,,,,,,3,,0.3016304129,0.413841303,0.284528284
Nantes,Metz,92.069891687,,,,,,,,2,,0.4529388981,0.2804581891,0.2666029127
Nice,Brest,193.76396815,,,,,,,,2,,0.6614025951,0.121799054,0.2167983508
Marseille,Nantes,224.07815754,,,,,,,,3,,0.6971780033,0.1108896017,0.1919323949
Lille,Toulouse,223.45553867,,,,,,,,1,,0.6965214693,0.1110383921,0.1924401385
Metz,Lyon,-123.0249386,,,,,,,,3,,0.2074046672,0.3714995697,0.421095763
Angers,Montpellier,5.756997533,,,,,,,,1,,0.2967475425,0.4161779441,0.2870745133
SaintEtienne,Reims,60.527621104,,,,,,,,2,,0.3799139061,0.3519432952,0.2681427986
Dijon,Monaco,-29.11647371,,,,,,,,2,,0.2645709518,0.4225810761,0.312847972
Strasbourg,Amiens,128.54635952,,,,,,,,2,,0.5439501893,0.1965164242,0.2595333864
Rennes,Nimes,148.69273376,,,,,,,,1,,0.5876501675,0.1626679501,0.2496818823
PSG,Bordeaux,354.21174791,,,,,,,,1,,0.7936664002,0.1030316247,0.103301975
PSG,Dijon,469.28927943,,,,,,,,1,,0.8398007427,0.1038415839,0.0563576733
Montpellier,Strasbourg,140.33623579,,,,,,,,1,,0.5703594601,0.1753629656,0.2542775742
Nimes,Marseille,-93.25486065,,,,,,,,3,,0.222742811,0.3962432644,0.3810139245
Monaco,Reims,80.767204356,,,,,,,,2,,0.4250576653,0.3079309115,0.2670114231
Toulouse,Rennes,-98.23900237,,,,,,,,3,,0.2200357686,0.3926256205,0.3873386108
Amiens,Metz,29.072211261,,,,,,,,3,,0.3257648215,0.3986704324,0.275564746
Brest,Angers,60.944370052,,,,,,,,3,,0.3807654107,0.3511347432,0.268099846
Bordeaux,Nice,32.805423663,,,,,,,,2,,0.3311964996,0.3946005148,0.2742029855
Marseille,Amiens,275.12271184,,,,,,,,2,,0.7431183224,0.1043882276,0.1524934499
Lyon,SaintEtienne,147.06178125,,,,,,,,1,,0.5843715665,0.1649975278,0.2506309056
Nantes,Lille,22.482426858,,,,,,,,3,,0.3167505917,0.4049505864,0.2782988218
Nice,Monaco,38.708845496,,,,,,,,1,,0.3402994216,0.3873745845,0.2723259938
Angers,Nantes,28.528288782,,,,,,,,1,,0.3249935905,0.3992319296,0.2757744798
Reims,Brest,150.96823386,,,,,,,,1,,0.5921465325,0.1595352363,0.2483182311
Dijon,Toulouse,134.9296281,,,,,,,,1,,0.55853032,0.1845941805,0.2568754994
SaintEtienne,Bordeaux,85.360884729,,,,,,,,2,,0.436221941,0.2969046556,0.2668734033
Rennes,Montpellier,117.80133765,,,,,,,,1,,0.5181017909,0.2189248526,0.2629733564
Lille,Lyon,-6.266997222,,,,,,,,1,,0.2844524237,0.4206459743,0.2949016019
