Castellon,Sabadell,2,1,,,,,,,1,,,,13/03/2021,19:30
Mirandes,Espanol,2,2,,,,,,,2,,,,13/03/2021,20:00
Logrones,Malaga,0,1,,,,,,,3,,,,14/03/2021,13:00
Gijon,Mallorca,2,0,,,,,,,1,,,,14/03/2021,15:00
Tenerife,Albacete,2,0,,,,,,,1,,,,14/03/2021,17:15
Oviedo,Leganes,1,3,,,,,,,3,,,,14/03/2021,19:30
Almeria,Alcorcon,0,0,,,,,,,2,,,,15/03/2021,18:00
LasPalmas,Girona,1,2,,,,,,,3,,,,19/03/2021,20:00
Sabadell,Gijon,1,1,,,,,,,2,,,,20/03/2021,15:00
Mallorca,Oviedo,0,0,,,,,,,2,,,,20/03/2021,17:15
Leganes,Fuenlabrada,0,2,,,,,,,3,,,,20/03/2021,19:30
Espanol,Logrones,4,0,,,,,,,1,,,,20/03/2021,20:00
Ponferradina,Almeria,2,1,,,,,,,1,,,,21/03/2021,13:00
Malaga,Tenerife,1,1,,,,,,,2,,,,21/03/2021,15:00
Lugo,Castellon,0,0,,,,,,,2,,,,21/03/2021,17:15
Alcorcon,Vallecano,0,3,,,,,,,3,,,,21/03/2021,19:30
Albacete,Cartagena,2,0,,,,,,,1,,,,22/03/2021,18:00
Zaragoza,Mirandes,1,0,,,,,,,1,,,,22/03/2021,20:00
Gijon,Alcorcon,0,0,,,,,,,2,,,,26/03/2021,18:00
Castellon,Espanol,1,3,,,,,,,3,,,,26/03/2021,20:00
Oviedo,Ponferradina,1,1,,,,,,,2,,,,27/03/2021,15:00
Almeria,Leganes,1,1,,,,,,,2,,,,27/03/2021,17:15
Cartagena,Malaga,1,1,,,,,,,2,,,,27/03/2021,19:30
Logrones,Zaragoza,1,1,,,,,,,2,,,,27/03/2021,20:00
Lugo,Sabadell,0,1,,,,,,,3,,,,28/03/2021,13:00
Girona,Albacete,2,1,,,,,,,1,,,,28/03/2021,15:00
Tenerife,LasPalmas,1,1,,,,,,,2,,,,28/03/2021,20:30
Fuenlabrada,Mallorca,4,1,,,,,,,1,,,,29/03/2021,20:00
Alcorcon,Oviedo,1,1,,,,,,,2,,,,30/03/2021,18:00
Malaga,Almeria,0,3,,,,,,,3,,,,30/03/2021,18:30
Ponferradina,Logrones,2,2,,,,,,,2,,,,30/03/2021,20:00
Vallecano,Gijon,0,1,,,,,,,3,,,,30/03/2021,20:30
Albacete,Castellon,0,1,,,,,,,3,,,,31/03/2021,18:00
Sabadell,Girona,2,2,,,,,,,2,,,,31/03/2021,18:00
Espanol,Fuenlabrada,4,0,,,,,,,1,,,,01/04/2021,16:00
Mallorca,Leganes,1,0,,,,,,,1,,,,01/04/2021,18:00
LasPalmas,Lugo,6,1,,,,,,,1,,,,01/04/2021,20:00
Zaragoza,Cartagena,0,0,,,,,,,2,,,,01/04/2021,20:30
Almeria,Vallecano,0,1,,,,,,,3,,,,02/04/2021,20:00
Logrones,Tenerife,1,0,,,,,,,1,,,,03/04/2021,13:00
Girona,Ponferradina,3,1,,,,,,,1,,,,03/04/2021,15:00
Castellon,Oviedo,1,0,,,,,,,1,,,,03/04/2021,17:15
Gijon,Mirandes,1,2,,,,,,,3,,,,04/04/2021,13:00
Albacete,Espanol,0,3,,,,,,,3,,,,04/04/2021,15:00
Leganes,Sabadell,2,1,,,,,,,1,,,,04/04/2021,17:15
Lugo,Malaga,0,1,,,,,,,3,,,,04/04/2021,17:15
LasPalmas,Mallorca,1,1,,,,,,,2,,,,04/04/2021,19:30
Cartagena,Alcorcon,2,1,,,,,,,1,,,,05/04/2021,18:00
Fuenlabrada,Zaragoza,0,1,,,,,,,3,,,,05/04/2021,20:00
Tenerife,Gijon,1,0,,,,,,,1,,,,09/04/2021,20:00
Ponferradina,Fuenlabrada,0,0,,,,,,,2,,,,10/04/2021,13:00
Oviedo,LasPalmas,0,0,,,,,,,2,,,,10/04/2021,15:00
Vallecano,Girona,2,1,,,,,,,1,,,,10/04/2021,17:15
Malaga,Albacete,2,0,,,,,,,1,,,,11/04/2021,13:00
Zaragoza,Almeria,2,1,,,,,,,1,,,,11/04/2021,15:00
Mallorca,Lugo,2,0,,,,,,,1,,,,11/04/2021,17:15
Mirandes,Logrones,0,1,,,,,,,3,,,,11/04/2021,17:15
Sabadell,Cartagena,1,1,,,,,,,2,,,,11/04/2021,17:15
Espanol,Leganes,2,1,,,,,,,1,,,,11/04/2021,20:00
