SaintEtienne,Nimes,2,2,None,None,None,2020-12-20T14:00:00Z
Dijon,Monaco,0,1,None,None,None,2020-12-20T14:00:00Z
Nantes,Angers,1,1,None,None,None,2020-12-20T14:00:00Z
Brest,Montpellier,2,2,None,None,None,2020-12-20T12:00:00Z
Strasbourg,Bordeaux,0,2,None,None,None,2020-12-20T14:00:00Z
Bordeaux,Reims,1,3,None,None,None,2020-12-23T18:00:00Z
Lille,PSG,0,0,None,None,None,2020-12-20T20:00:00Z
Lorient,Rennes,0,3,None,None,None,2020-12-20T16:00:00Z
Lens,Brest,2,1,None,None,None,2020-12-23T18:00:00Z
Rennes,Metz,1,0,None,None,None,2020-12-23T18:00:00Z
Nimes,Dijon,1,3,None,None,None,2020-12-23T18:00:00Z
Nice,Lorient,2,2,None,None,None,2020-12-23T18:00:00Z
Montpellier,Lille,2,3,None,None,None,2020-12-23T20:00:00Z
PSG,Strasbourg,4,0,None,None,None,2020-12-23T20:00:00Z
Lyon,Nantes,3,0,None,None,None,2020-12-23T20:00:00Z
Angers,Marseille,2,1,None,None,None,2020-12-23T20:00:00Z
Monaco,SaintEtienne,2,2,None,None,None,2020-12-23T20:00:00Z
Brest,Nice,2,0,None,None,None,2021-01-06T18:00:00Z
Nantes,Rennes,0,0,None,None,None,2021-01-06T18:00:00Z
Metz,Bordeaux,0,0,None,None,None,2021-01-06T18:00:00Z
Strasbourg,Nimes,5,0,None,None,None,2021-01-06T18:00:00Z
Lyon,Lens,3,2,None,None,None,2021-01-06T20:00:00Z
Lorient,Monaco,2,5,None,None,None,2021-01-06T18:00:00Z
Lille,Angers,1,2,None,None,None,2021-01-06T20:00:00Z
SaintEtienne,PSG,1,1,None,None,None,2021-01-06T20:00:00Z
Reims,Dijon,0,0,None,None,None,2021-01-06T20:00:00Z
Marseille,Montpellier,3,1,None,None,None,2021-01-06T20:00:00Z
Montpellier,Nantes,1,1,None,None,None,2021-01-09T20:00:00Z
PSG,Brest,3,0,None,None,None,2021-01-09T20:00:00Z
Bordeaux,Lorient,2,1,None,None,None,2021-01-09T20:00:00Z
Rennes,Lyon,2,2,None,None,None,2021-01-09T20:00:00Z
Monaco,Angers,3,0,None,None,None,2021-01-09T20:00:00Z
Reims,SaintEtienne,3,1,None,None,None,2021-01-09T20:00:00Z
Dijon,Marseille,0,0,None,None,None,2021-01-09T20:00:00Z
Nimes,Lille,0,1,None,None,None,2021-01-09T20:00:00Z
Metz,Nice,1,1,None,None,None,2021-01-09T20:00:00Z
Montpellier,Monaco,2,3,None,None,None,2021-01-15T20:00:00Z
Lens,Strasbourg,0,1,None,None,None,2021-01-09T20:00:00Z
