SaintEtienne,Lille,-24.05928734,0.2846121803,0.3884977703,0.3268900493
Nimes,Marseille,-162.8923301,0.2012131833,0.2848765935,0.5139102231
Rennes,Lens,152.71309384,0.6172844729,0.1264426655,0.2562728615
Montpellier,PSG,-143.3183488,0.2102929311,0.3098404428,0.4798666260
Bordeaux,Brest,79.911524237,0.4458692830,0.2726629009,0.2814678160
Angers,Lorient,94.949335715,0.4815402361,0.2396812862,0.2787784776
Lille,Monaco,192.49985010,0.6892444683,0.0831809966,0.2275745350
Nantes,Strasbourg,65.291067787,0.4135829211,0.3024062319,0.2840108469
Dijon,SaintEtienne,-34.71010887,0.2753729013,0.3883506343,0.3362764643
SaintEtienne,Angers,30.049617664,0.3491873122,0.3570920848,0.2937206029
Reims,Nice,-18.06830082,0.2902052207,0.3877798751,0.3220149041
Metz,Lyon,-144.1380853,0.2099064265,0.3088433451,0.4812502283
Marseille,Monaco,123.47534390,0.5512971007,0.1778725382,0.2708303610
Nice,Rennes,-18.25949030,0.2900219598,0.3878121116,0.3221659285
Lens,Montpellier,-16.78417507,0.2914445359,0.3875470949,0.3210083691
Brest,Reims,4.8185267415,0.3147523674,0.3791057922,0.3061418403
Nantes,Dijon,118.56933106,0.5394361597,0.1879695673,0.2725942729
Strasbourg,Metz,22.350536074,0.3377330959,0.3653073647,0.2969595393
Lorient,Nimes,-19.84321700,0.2885162521,0.3880552195,0.3234285283
Lille,Bordeaux,162.54328987,0.6370647355,0.1130012638,0.2499340006
PSG,Lyon,132.16924807,0.5718768891,0.1608966709,0.2672264399
Montpellier,Metz,111.98256905,0.5233288481,0.2019967085,0.2746744433
Reims,Nantes,40.134299930,0.3655720888,0.3442680863,0.2901598248
Angers,Strasbourg,58.321295735,0.3992683270,0.3153266444,0.2854050285
Nimes,Nice,-69.15675900,0.2502974446,0.3770120634,0.3726904919
PSG,Lorient,344.68623605,0.8379042460,0.0468887716,0.1152069823
Dijon,Lille,-111.9677969,0.2257332161,0.3442207352,0.4300460486
Bordeaux,SaintEtienne,17.931577105,0.3315497941,0.3694167224,0.2990334834
Rennes,Marseille,-60.85540115,0.2557873457,0.3811199201,0.3630927341
Lyon,Brest,241.03373424,0.7525747043,0.0595086373,0.1879166583
Monaco,Lens,118.58127985,0.5394652153,0.1879445792,0.2725902054
Marseille,Reims,90.745918297,0.4713849322,0.2490319777,0.2795830900
Metz,Lens,8.5914219354,0.3193588606,0.3766923518,0.3039487875
Nice,Lyon,-102.8290497,0.2305582619,0.3527131315,0.4167286065
SaintEtienne,Nimes,95.529035152,0.4829490472,0.2383883266,0.2786626261
Dijon,Monaco,-9.709357326,0.2985470140,0.3857445948,0.3157083911
Nantes,Angers,-18.92069802,0.2893906578,0.3879187885,0.3226905536
Brest,Montpellier,12.065186520,0.3237584056,0.3742060280,0.3020355663
Strasbourg,Bordeaux,7.2472231060,0.3176975211,0.3775861212,0.3047163576
Bordeaux,Reims,-11.15088928,0.2970609033,0.3861846498,0.3167544468
Lille,PSG,-79.85622274,0.2436290653,0.3705643319,0.3858066027
Lorient,Rennes,-131.5604590,0.2159185641,0.3236222610,0.4604591748
Lens,Brest,64.125425427,0.4111371705,0.3046306932,0.2842321362
Rennes,Metz,92.803503370,0.4763419397,0.2444615007,0.2791965595
Nimes,Dijon,73.516871158,0.4313998536,0.2860550233,0.2825451230
Nice,Lorient,132.24292891,0.5720484012,0.1607583664,0.2671932323
Montpellier,Lille,9.8592959266,0.3209467086,0.3758145493,0.3032387420
PSG,Strasbourg,284.14625709,0.7941438037,0.0511408089,0.1547153873
Lyon,Nantes,176.40702053,0.6626887085,0.0972666479,0.2400446435
Angers,Marseille,-123.6002129,0.2198300749,0.3323662636,0.4478036614
Monaco,SaintEtienne,61.643288163,0.4059977014,0.3092840166,0.2847182819
Brest,Nice,-15.00553256,0.2931857674,0.3871774759,0.3196367566
Nantes,Rennes,-90.41456680,0.2374338097,0.3630089747,0.3995572155
Metz,Bordeaux,-22.65861690,0.2858927356,0.3883833370,0.3257239273
Strasbourg,Nimes,45.120281202,0.3742745842,0.3370634042,0.2886620115
Lyon,Lens,192.49101811,0.6892307736,0.0831876429,0.2275815834
Lorient,Monaco,-24.73280958,0.2840021096,0.3885414096,0.3274564807
Lille,Angers,160.17613884,0.6324239269,0.1160587249,0.2515173481
SaintEtienne,PSG,-209.3288666,0.1801031497,0.2189397444,0.6009571058
Reims,Dijon,130.44486627,0.5678478670,0.1641613650,0.2679907679
Marseille,Montpellier,75.368751152,0.4355381428,0.2822311154,0.2822307417
Montpellier,Nantes,109.86379622,0.5181207417,0.2066012686,0.2752779896
PSG,Brest,348.87572137,0.8404505798,0.0467458415,0.1128035786
Bordeaux,Lorient,77.641278640,0.4406754285,0.2774761292,0.2818484422
Rennes,Lyon,-55.34624747,0.2596038786,0.3833890689,0.3570070524
Monaco,Angers,29.252213126,0.3479595773,0.3580059420,0.2940344806
Reims,SaintEtienne,23.138745103,0.3388653966,0.3645283110,0.2966062923
Dijon,Marseille,-176.3424326,0.1950926591,0.2665173098,0.5383900310
Nimes,Lille,-138.5174320,0.2125705720,0.3155872920,0.4718421359
Metz,Nice,-45.63477482,0.2667119955,0.3864477582,0.3468402462
Montpellier,Monaco,93.532153629,0.4781040211,0.2428395627,0.2790564161
Lens,Strasbourg,22.268121487,0.3376152236,0.3653880120,0.2969967643
Marseille,Nimes,157.91418791,0.6279165748,0.1190857809,0.2529976442
